country,standardize
AFGHANISTAN,Afghanistan
Afghanistan,Afghanistan
albania,Albania
ALBANIA,Albania
Albania,Albania
ALGERIA,Algeria
algeria,Algeria
Algeria,Algeria
AMERICAN SAMOA,American Samoa
American Samoa,American Samoa
ANDORRA,Andorra
Andorra,Andorra
ANGOLA,Angola
Angola,Angola
ANGUILLA,Anguilla
Anguilla,Anguilla
Antigua and Barbuda,Antigua & Barbuda
Antiguaandbarbuda,Antigua & Barbuda
Antigua,Antigua & Barbuda
Antigua And Barbuda,Antigua & Barbuda
ANTAlgeriaIGUA AND BARBUDA,Antigua & Barbuda
Antigua & Barbuda,Antigua & Barbuda
Netherlandsantillesandaruba,Antilles
Netherlands Antilles,Antilles
NETHERLANDS ANTILLES,Antilles
Antilles,Antilles
Antilles,Antilles
Argentine,Argentina
ARGENTINA,Argentina
argentina,Argentina
Argentina,Argentina
ARMENIA,Armenia
armenia,Armenia
Armenia,Armenia
ARUBA,Aruba
Aruba,Aruba
AUSTRALIA,Australia
Australia,Australia
AUSTRIA,Austria
Austria,Austria
AZERBAIJAN,Azerbaijan
Azerbaijan,Azerbaijan
Azarbaijan,Azerbaijan
The Bahamas,Bahamas
"Bahamas, The",Bahamas
"Bahamas, the",Bahamas
BAHAMAS,Bahamas
Bahamas,Bahamas
BAHRAIN,Bahrain
Bahrain,Bahrain
Bgd,Bangladesh
BGD,Bangladesh
BANGLADESH,Bangladesh
bangladesh,Bangladesh
Bangladesh,Bangladesh
BARBADOS,Barbados
Barbados,Barbados
Belarus,Belarus (Byelorussia)
BELARUS,Belarus (Byelorussia)
Belarus (Byelorussia),Belarus (Byelorussia)
BELGIUM,Belgium
Belgium,Belgium
BELIZE,Belize
belize,Belize
Belize,Belize
BENIN,Benin
benin,Benin
Benin,Benin
BERMUDA,Bermuda
Bermuda,Bermuda
Btn,Bhutan
BTN,Bhutan
BHUTAN,Bhutan
Bhutan,Bhutan
BOLIVIA,Bolivia
bolivia,Bolivia
Bolivia,Bolivia
Republic of Bosnia and Herzegovina,Bosnia-Herzegovina
Bosnia and Herzigova,Bosnia-Herzegovina
