country,standardize,max,min,panel
AFGHANISTAN,Afghanistan,,2015,Afghanistan
Afghanistan,Afghanistan,,2015,Afghanistan
albania,Albania,,2015,Albania
ALBANIA,Albania,,2015,Albania
Albania,Albania,,2015,Albania
ALGERIA,Algeria,,2015,Algeria
algeria,Algeria,,2015,Algeria
Algeria,Algeria,,2015,Algeria
AMERICAN SAMOA,American Samoa,,2015,American Samoa
American Samoa,American Samoa,,2015,American Samoa
ANDORRA,Andorra,,2015,Andorra
Andorra,Andorra,,2015,Andorra
ANGOLA,Angola,,2015,Angola
Angola,Angola,,2015,Angola
ANGUILLA,Anguilla,,2015,Anguilla
Anguilla,Anguilla,,2015,Anguilla
Antiguaandbarbuda,Antigua & Barbuda,,2015,Antigua & Barbuda
Antigua,Antigua & Barbuda,,2015,Antigua & Barbuda
Antigua And Barbuda,Antigua & Barbuda,,2015,Antigua & Barbuda
ANTAlgeriaIGUA AND BARBUDA,Antigua & Barbuda,,2015,Antigua & Barbuda
Antigua & Barbuda,Antigua & Barbuda,,2015,Antigua & Barbuda
Netherlandsantillesandaruba,Antilles,,2015,Antilles
Netherlands Antilles,Antilles,,2015,Antilles
NETHERLANDS ANTILLES,Antilles,,2015,Antilles
Antilles,Antilles,,2015,Antilles
Antilles,Antilles,,2015,Antilles
ARGENTINA,Argentina,,2015,Argentina
argentina,Argentina,,2015,Argentina
Argentina,Argentina,,2015,Argentina
ARMENIA,Armenia,,2015,Armenia
armenia,Armenia,,2015,Armenia
Armenia,Armenia,,2015,Armenia
ARUBA,Aruba,,2015,Aruba
Aruba,Aruba,,2015,Aruba
AUSTRALIA,Australia,,2015,Australia
Australia,Australia,,2015,Australia
AUSTRIA,Austria,,2015,Austria
Austria,Austria,,2015,Austria
AZERBAIJAN,Azerbaijan,,2015,Azerbaijan
Azerbaijan,Azerbaijan,,2015,Azerbaijan
The Bahamas,Bahamas,,2015,Bahamas
"Bahamas, The",Bahamas,,2015,Bahamas
"Bahamas, the",Bahamas,,2015,Bahamas
BAHAMAS,Bahamas,,2015,Bahamas
Bahamas,Bahamas,,2015,Bahamas
BAHRAIN,Bahrain,,2015,Bahrain
Bahrain,Bahrain,,2015,Bahrain
Bgd,Bangladesh,,2015,Bangladesh
BGD,Bangladesh,,2015,Bangladesh
BANGLADESH,Bangladesh,,2015,Bangladesh
bangladesh,Bangladesh,,2015,Bangladesh
Bangladesh,Bangladesh,,2015,Bangladesh
BARBADOS,Barbados,,2015,Barbados
Barbados,Barbados,,2015,Barbados
Belarus,Belarus (Byelorussia),,2015,Belarus (Byelorussia)
BELARUS,Belarus (Byelorussia),,2015,Belarus (Byelorussia)
Belarus (Byelorussia),Belarus (Byelorussia),,2015,Belarus (Byelorussia)
